client,name,stem,direction,pair,actualFields,fieldTypes,possibleParameters,evidence,confidence,source
"jp-1.4.0","TRetGetUsers","GetUsers","S2C/response","","_ArrUser;extensionObject","_ArrUser:System.Collections.Generic.List<pb.TUserInfo>;extensionObject:ProtoBuf.IExtension","m_UserSpecifiedHeight;m_UserSpecifiedWidth;userSpecifiedLayers;userState","inferred","0.85","IL2CPP v24 type definition and field ranges; wire numbers/types remain unresolved"
"jp-1.4.0","TRetGuildShopInfo","GuildShopInfo","S2C/response","","_ShopId;_GuildShelfGoodsData;_UserShelfGoodsData;extensionObject","_ShopId:int;_GuildShelfGoodsData:System.Collections.Generic.List<pb.TShopShelfGoodsData>;_UserShelfGoodsData:System.Collections.Generic.List<pb.TShopGoodsData>;extensionObject:ProtoBuf.IExtension","aSkillKillInfo;actSkillInfo;actionInfo;actorInfo;actor_infos;airAttackerEquipInfo;airDefenderEquipInfo;airEquipInfo;allInfo;appendLengthInfo;appendModeInfo;applyRendererInfo","inferred","0.85","IL2CPP v24 type definition and field ranges; wire numbers/types remain unresolved"
"jp-1.4.0","TRetGuildUserInfo","GuildUserInfo","S2C/response","","_GuildId;_MessageCount;_QuitTime;_SkillList;_SacrificeTime;_SacrificeBox;_ApplyList;_DelApplyList;_Apply;_Post;_SacrificeMode;_SacrificeReward;_Event;_FirstReward;_DailyRewardTime;_LastAtkTime;extensionObject","_GuildId:ulong;_MessageCount:int;_QuitTime:int;_SkillList:System.Collections.Generic.List<pb.TGuildSkillSub>;_SacrificeTime:int;_SacrificeBox:int;_ApplyList:System.Collections.Generic.List<ulong>;_DelApplyList:System.Collections.Generic.List<ulong>;_Apply:System.Collections.Generic.List<pb.TGuildApply>;_Post:int;_SacrificeMode:int;_SacrificeReward:int;_Event:pb.TGuildEvent;_FirstReward:System.Collections.Generic.List<int>;_DailyRewardTime:int;_LastAtkTime:int;extensionObject:ProtoBuf.IExtension","aSkillKillInfo;actSkillInfo;actionInfo;actorInfo;actor_infos;airAttackerEquipInfo;airDefenderEquipInfo;airEquipInfo;allInfo;allowUserInput;appendLengthInfo;appendModeInfo","inferred","0.85","IL2CPP v24 type definition and field ranges; wire numbers/types remain unresolved"
"jp-1.4.0","TRetInitQueueInfo","InitQueueInfo","S2C/response","","_QueuePos;_QueueLen;_SelfPos;extensionObject","_QueuePos:int;_QueueLen:int;_SelfPos:int;extensionObject:ProtoBuf.IExtension","aSkillKillInfo;actSkillInfo;actionInfo;action_queue;actorInfo;actor_infos;add_OnQueueUnblocked;airAttackerEquipInfo;airDefenderEquipInfo;airEquipInfo;akInitializer;allInfo","inferred","0.85","IL2CPP v24 type definition and field ranges; wire numbers/types remain unresolved"
"jp-1.4.0","TRetKickInfo","KickInfo","S2C/response","","_info;extensionObject","_info:string;extensionObject:ProtoBuf.IExtension","aSkillKillInfo;actSkillInfo;actionInfo;actorInfo;actor_infos;airAttackerEquipInfo;airDefenderEquipInfo;airEquipInfo;allInfo;appendLengthInfo;appendModeInfo;applyRendererInfo","inferred","0.85","IL2CPP v24 type definition and field ranges; wire numbers/types remain unresolved"
"jp-1.4.0","TRetLogin","Login","S2C/response","TArgLogin","_Ret;_FeignRoleId;extensionObject","_Ret:string;_FeignRoleId:string;extensionObject:ProtoBuf.IExtension","eStageLogin;getLoginedServerInfo;isLogined;kGetLoginedServerInfo;kLogin;kScanCookieLogin;logInfo;logInfoKeyValue;login;loginCallBack;loginEvent;onLogin","inferred","0.85","IL2CPP v24 type definition and field ranges; wire numbers/types remain unresolved"
"jp-1.4.0","TRetPopMsg","PopMsg","S2C/response","","_Msg;extensionObject","_Msg:string;extensionObject:ProtoBuf.IExtension","","inferred","0.85","IL2CPP v24 type definition and field ranges; wire numbers/types remain unresolved"
"jp-1.4.0","TRetPsUserRankData","PsUserRankData","S2C/response","","_User;_Star;_ThumbsUpCount;extensionObject","_User:pb.TRetGetOtherUserInfo;_Star:int;_ThumbsUpCount:int;extensionObject:ProtoBuf.IExtension","actSkillData;activeFieldSerializationData;addData;add_DatagramReceived;aiData;air_attack_spe_data;allData;allDatas;allMovePointData;allShipSpeedData;allowUserInput;animData","inferred","0.85","IL2CPP v24 type definition and field ranges; wire numbers/types remain unresolved"
"jp-1.4.0","TRetQueueInfo","QueueInfo","S2C/response","","_QueuePos;_QueueLen;extensionObject","_QueuePos:int;_QueueLen:int;extensionObject:ProtoBuf.IExtension","aSkillKillInfo;actSkillInfo;actionInfo;action_queue;actorInfo;actor_infos;add_OnQueueUnblocked;airAttackerEquipInfo;airDefenderEquipInfo;airEquipInfo;allInfo;animActoinSqueue","inferred","0.85","IL2CPP v24 type definition and field ranges; wire numbers/types remain unresolved"
"jp-1.4.0","TRetSearchGuild","SearchGuild","S2C/response","TArgSearchGuild","_GuildList;extensionObject","_GuildList:System.Collections.Generic.List<pb.TBaseGuildInfo>;extensionObject:ProtoBuf.IExtension","add_OnPathPostSearch;add_OnPathPreSearch;aerialSearch;aerialSearchCD;aerialSearchCDMax;aerialSearchDuration;aerialSearchMaxCD;aerialSearchNum;aerialSearchPlaneSpeed;aerialSearchRange;aerialSearchRangePosTrans;aerialSearchVoyage","inferred","0.85","IL2CPP v24 type definition and field ranges; wire numbers/types remain unresolved"
"jp-1.4.0","TRetShopInfo","ShopInfo","S2C/response","","_ShopId;_ResetCount;_ShopShelfGoodsData;_ShopGoodsData;_EmptyFlag;extensionObject","_ShopId:int;_ResetCount:int;_ShopShelfGoodsData:System.Collections.Generic.List<pb.TShopShelfGoodsData>;_ShopGoodsData:System.Collections.Generic.List<pb.TShopGoodsData>;_EmptyFlag:int;extensionObject:ProtoBuf.IExtension","aSkillKillInfo;actSkillInfo;actionInfo;actorInfo;actor_infos;airAttackerEquipInfo;airDefenderEquipInfo;airEquipInfo;allInfo;appendLengthInfo;appendModeInfo;applyRendererInfo","inferred","0.85","IL2CPP v24 type definition and field ranges; wire numbers/types remain unresolved"
"jp-1.4.0","TRetShopsInfo","ShopsInfo","S2C/response","","_ShopInfo;extensionObject","_ShopInfo:System.Collections.Generic.List<pb.TRetShopInfo>;extensionObject:ProtoBuf.IExtension","aSkillKillInfo;actSkillInfo;actionInfo;actorInfo;actor_infos;airAttackerEquipInfo;airDefenderEquipInfo;airEquipInfo;allInfo;appendLengthInfo;appendModeInfo;applyRendererInfo","inferred","0.85","IL2CPP v24 type definition and field ranges; wire numbers/types remain unresolved"
"jp-1.4.0","TRetShowRedTip","ShowRedTip","S2C/response","","_Type;extensionObject","_Type:uint;extensionObject:ProtoBuf.IExtension","alwaysShowHorizontal;alwaysShowVertical;arr_attr_dock_show;arr_attr_type_show;arr_show_time;attr_dock_show;attr_type_show;autobattle_isshow;bShow;bepokeShowTimer;btnShow;buffShowModel","inferred","0.85","IL2CPP v24 type definition and field ranges; wire numbers/types remain unresolved"
"jp-1.4.0","TRetUserLogin","UserLogin","S2C/response","TArgUserLogin","_Ret;_BanMsg;_BanTime;extensionObject","_Ret:string;_BanMsg:string;_BanTime:int;extensionObject:ProtoBuf.IExtension","allowUserInput;eStageLogin;enterUserCenter;fVolAuxUserDefAtMaxDist;getLoginedServerInfo;getUserCenterName;getUserCenterNameF;getUserInformation;isLogined;kGetLoginedServerInfo;kGetUserInformation;kLogin","inferred","0.85","IL2CPP v24 type definition and field ranges; wire numbers/types remain unresolved"
"jp-1.4.0","TRetUserRank","UserRank","S2C/response","TArgUserRank","_UserRank;_User;extensionObject","_UserRank:int;_User:System.Collections.Generic.List<pb.TRetGetOtherUserInfo>;extensionObject:ProtoBuf.IExtension","allowUserInput;enterUserCenter;fVolAuxUserDefAtMaxDist;getUserCenterName;getUserCenterNameF;getUserInformation;il2cpp_class_get_rank;kGetUserInformation;kMouseRightId;lua_islightuserdata;lua_pushlightuserdata;lua_touserdata","inferred","0.85","IL2CPP v24 type definition and field ranges; wire numbers/types remain unresolved"
"cn-1.5.20","AckPackBean","AckPackBean","unknown","","AckId;TOpes;Opes","AckId:int;TOpes:System.Collections.Generic.List<pb.TNetOperation>;Opes:System.Collections.Generic.List<Battle.Logic.Net.Base.NetOperation>","alphaPacking;beans;beginDeltaBeans;curPackNum;d2lPacketPool;error_idpackageUrlscript;g_MinPacketSize;in_pszFilePackageName;in_uPackageID;isInPackage;k_MaxFreePacketCount;k_PacketHeaderReserveSize","inferred","0.85","IL2CPP v24 type definition and field ranges; wire numbers/types remain unresolved"
"cn-1.5.20","C2SProtocol","Protocol","unknown","","_ackPack;_preditionFrameID;pool","_ackPack:pb.TAckPack;_preditionFrameID:int;pool:ObjectPool<PXP.Net.Protocols.C2SProtocol>","clientHelloProtocol;m_UsePlatformSpecificProtocols;prependProtocol;processProtocol;protocol;protocolNegotiated;protocolVersion;protocol_type;recordProtocol;securityProtocol;securityProtocolType;sslProtocolType","inferred","0.85","IL2CPP v24 type definition and field ranges; wire numbers/types remain unresolved"
"cn-1.5.20","NetProtocol","NetProtocol","unknown","","method;uid;battleId;_Buffer","method:byte;uid:long;battleId:int;_Buffer:Battle.Net.PXP.PXPBuffer","clientHelloProtocol;m_UsePlatformSpecificProtocols;prependProtocol;processProtocol;protocol;protocolNegotiated;protocolVersion;protocol_type;recordProtocol;securityProtocol;securityProtocolType;sslProtocolType","inferred","0.85","IL2CPP v24 type definition and field ranges; wire numbers/types remain unresolved"
"cn-1.5.20","S2CActionbase","Actionbase","S2C/push","","","","","candidate","0.35","IL2CPP metadata/binary string table"
"cn-1.5.20","S2CActorCreator","ActorCreator","S2C/push","","mActors","mActors:System.Collections.Generic.Dictionary<int, BattleFrame.S2CActionbase>","actionCreator;actor;actorBuffRelationUtil;actorCircle;actorComponents;actorController;actorCreator;actorDic;actorId;actorInfo;actorManager;actorModel","inferred","0.85","IL2CPP v24 type definition and field ranges; wire numbers/types remain unresolved"
"cn-1.5.20","S2CExecutor","Executor","S2C/push","","","","beizerExecutor;childExecutor;cubicBExecutor;executorEventHandler;mCurExecutor","candidate","0.35","IL2CPP metadata/binary string table"
"cn-1.5.20","S2CMessageExcutorSystem","MessageExcutorSystem","S2C/push","","mOpeActor","mOpeActor:BattleFrame.S2CActorCreator","addExcutor;addSystem;add_logMessageReceived;add_logMessageReceivedThreaded;add_systemStateChanged;bannerMessage;cachedSystemId;call_message;cameraSubsystem;cameraSubsystemRequested;cameraSubsystems;cloneDestroyedMessage","inferred","0.85","IL2CPP v24 type definition and field ranges; wire numbers/types remain unresolved"
"cn-1.5.20","S2CPositionMulti","PositionMulti","S2C/push","","","","add_m_PCMSetPositionCallback;affection_position;allowMultipleRoot;allow_multiple;anchoredPosition;anchoredPosition3D;arr_affection_position;arr_assist_fleet_position;arr_character_story_position;arr_cutin_position;arr_enemy_position;arr_fashion_position1","candidate","0.35","IL2CPP metadata/binary string table"
"cn-1.5.20","S2CProtocol","Protocol","S2C/push","","ackId;rtt;Frame;_ackPack;pool","ackId:int;rtt:float;Frame:int;_ackPack:AckPackBean;pool:ObjectPool<PXP.Net.Protocols.S2CProtocol>","clientHelloProtocol;m_UsePlatformSpecificProtocols;prependProtocol;processProtocol;protocol;protocolNegotiated;protocolVersion;protocol_type;recordProtocol;securityProtocol;securityProtocolType;sslProtocolType","inferred","0.85","IL2CPP v24 type definition and field ranges; wire numbers/types remain unresolved"
"cn-1.5.20","S2CShareMemory","ShareMemory","S2C/push","","","","add_lowMemory;alwaysInMemory;audioDeviceShareset;cMemoryOwn;currentTextureMemory;desiredTextureMemory;displayShareMemory;graphicsMemorySize;il2cpp_capture_memory_snapshot;il2cpp_free_captured_memory_snapshot;il2cpp_set_memory_callbacks;inMemoryBankPtr","candidate","0.35","IL2CPP metadata/binary string table"
"cn-1.5.20","TAckPack","TAckPack","unknown","","_ackId;_opeList;extensionObject","_ackId:int;_opeList:System.Collections.Generic.List<pb.TNetOperation>;extensionObject:ProtoBuf.IExtension","alphaPacking;curPackNum;d2lPacketPool;error_idpackageUrlscript;g_MinPacketSize;in_pszFilePackageName;in_uPackageID;isInPackage;k_MaxFreePacketCount;k_PacketHeaderReserveSize;m_AlphaPacking;m_CurrentPacket","inferred","0.85","IL2CPP v24 type definition and field ranges; wire numbers/types remain unresolved"
"cn-1.5.20","TArgApplyGuild","ApplyGuild","C2S/request","","_GuildId;extensionObject","_GuildId:ulong;extensionObject:ProtoBuf.IExtension","add_reapplyDrivenProperties;apply;applyAvatarMask;applyBaseVertex;applyDefaultBehaviour;applyExpensiveChanges;applyMaskPenaltyRule1;applyMaskPenaltyRule1Internal;applyMaskPenaltyRule2;applyMaskPenaltyRule3;applyMaskPenaltyRule4;applyNetObjectProxy","inferred","0.85","IL2CPP v24 type definition and field ranges; wire numbers/types remain unresolved"
"cn-1.5.20","TArgAppoint","Appoint","C2S/request","","_Uid;_Post;extensionObject","_Uid:ulong;_Post:int;extensionObject:ProtoBuf.IExtension","appoint;appointCache","inferred","0.85","IL2CPP v24 type definition and field ranges; wire numbers/types remain unresolved"
"cn-1.5.20","TArgArtifactTrain","ArtifactTrain","C2S/request","","_ArtifactId;_TrainTimes;_TrainCostWay;extensionObject","_ArtifactId:int;_TrainTimes:int;_TrainCostWay:int;extensionObject:ProtoBuf.IExtension","arr_training_strategy;cachedNNConstraint;constrainArea;constrainDistance;constrainInsideGraph;constrainTags;constrainWalkability;constrainedNode;constraint;constraintCount;constraints;encodedBasicConstraints","inferred","0.85","IL2CPP v24 type definition and field ranges; wire numbers/types remain unresolved"
"cn-1.5.20","TArgAtkStage","AtkStage","C2S/request","","_ChapterId;_Index;extensionObject","_ChapterId:int;_Index:int;extensionObject:ProtoBuf.IExtension","actionStage;action_stage;addStage;battleStageAttrCache;eStageLaunch;eStageLogin;eStageMain;eStageMultiPveBattle;eStagePvpBattle;eStagePvpBattleTest;eStageReplayBattle;eStageResumeBattle","inferred","0.85","IL2CPP v24 type definition and field ranges; wire numbers/types remain unresolved"
"cn-1.5.20","TArgCancelApply","CancelApply","C2S/request","","_GuildId;extensionObject","_GuildId:ulong;extensionObject:ProtoBuf.IExtension","add_reapplyDrivenProperties;apply;applyAvatarMask;applyBaseVertex;applyDefaultBehaviour;applyExpensiveChanges;applyMaskPenaltyRule1;applyMaskPenaltyRule1Internal;applyMaskPenaltyRule2;applyMaskPenaltyRule3;applyMaskPenaltyRule4;applyNetObjectProxy","inferred","0.85","IL2CPP v24 type definition and field ranges; wire numbers/types remain unresolved"
"cn-1.5.20","TArgCreateGuild","CreateGuild","C2S/request","","_Name;_Emblem;_Frame;extensionObject","_Name:string;_Emblem:int;_Frame:int;extensionObject:ProtoBuf.IExtension","add_OnPlayableCreate;allowAutoCreate;arr_create_pos_range;arr_create_range_item;autoCreate;autoCreatePlayer;check_created;check_not_created;create;createBattleFrame;createBuffs;createClientHandshakeMessage","inferred","0.85","IL2CPP v24 type definition and field ranges; wire numbers/types remain unresolved"
"cn-1.5.20","TArgCreateUser","CreateUser","C2S/request","","_Uname;_Class;extensionObject","_Uname:string;_Class:int;extensionObject:ProtoBuf.IExtension","add_OnPlayableCreate;allowAutoCreate;allowUserInput;arr_create_pos_range;arr_create_range_item;autoCreate;autoCreatePlayer;check_created;check_not_created;create;createBattleFrame;createBuffs","inferred","0.85","IL2CPP v24 type definition and field ranges; wire numbers/types remain unresolved"
"cn-1.5.20","TArgGetChatInfo","GetChatInfo","C2S/request","","_Channel;extensionObject","_Channel:int;extensionObject:ProtoBuf.IExtension","aSkillKillInfo;actSkillInfo;actionInfo;actorInfo;actor_infos;airAttackerEquipInfo;airDefenderEquipInfo;airEquipInfo;allInfo;appendLengthInfo;appendModeInfo;applyRendererInfo","inferred","0.85","IL2CPP v24 type definition and field ranges; wire numbers/types remain unresolved"
"cn-1.5.20","TArgGetChatInfoN","GetChatInfoN","C2S/request","","_Channel;_StartRecvTime;extensionObject","_Channel:int;_StartRecvTime:int;extensionObject:ProtoBuf.IExtension","aSkillKillInfo;actSkillInfo;actionInfo;actorInfo;actor_infos;airAttackerEquipInfo;airDefenderEquipInfo;airEquipInfo;allInfo;appendLengthInfo;appendModeInfo;applyRendererInfo","inferred","0.85","IL2CPP v24 type definition and field ranges; wire numbers/types remain unresolved"
"cn-1.5.20","TArgGetGuildList","GetGuildList","C2S/request","TRetGetGuildList","_FromRank;extensionObject","_FromRank:int;extensionObject:ProtoBuf.IExtension","acklist;actionList;add_LogHistoryListReset;addressList;allImageList;allList;allowLists;arr_param_list;arr_script_list;arrowPosList;asListItem;assemblyEvidenceList","inferred","0.85","IL2CPP v24 type definition and field ranges; wire numbers/types remain unresolved"
"cn-1.5.20","TArgGetSacrificeReward","GetSacrificeReward","C2S/request","","_Reward;extensionObject","_Reward:int;extensionObject:ProtoBuf.IExtension","arr_finishmission_reward;arr_first_reward;arr_three_star_reward;commonReward;copy_must_drop_reward;finishmission_reward;first_reward;plot_episode_reward;repeat_rewards;reward;three_star_reward","inferred","0.85","IL2CPP v24 type definition and field ranges; wire numbers/types remain unresolved"
"cn-1.5.20","TArgGuildSacrifice","GuildSacrifice","C2S/request","","_Mode;extensionObject","_Mode:int;extensionObject:ProtoBuf.IExtension","","inferred","0.85","IL2CPP v24 type definition and field ranges; wire numbers/types remain unresolved"
"cn-1.5.20","TArgGuildShopGetInfo","GuildShopGetInfo","C2S/request","","_ShopId;extensionObject","_ShopId:int;extensionObject:ProtoBuf.IExtension","aSkillKillInfo;actSkillInfo;actionInfo;actorInfo;actor_infos;airAttackerEquipInfo;airDefenderEquipInfo;airEquipInfo;allInfo;appendLengthInfo;appendModeInfo;applyRendererInfo","inferred","0.85","IL2CPP v24 type definition and field ranges; wire numbers/types remain unresolved"
"cn-1.5.20","TArgGuildSkill","GuildSkill","C2S/request","","_Type;_SkillId;extensionObject","_Type:int;_SkillId:int;extensionObject:ProtoBuf.IExtension","aSkillKillInfo;aSkillType;actSkillAPI;actSkillData;actSkillInfo;addPskills;additionalSkillCD;additionalSkillID;additionalSkillWeight;arr_callback_skill_condition;arr_pskill_factors;arr_pskill_group_nomarl","inferred","0.85","IL2CPP v24 type definition and field ranges; wire numbers/types remain unresolved"
"cn-1.5.20","TArgLogin","Login","C2S/request","TRetLogin","_Pid;_Timestamp;_OpenDateTime;_Hash;_SampleInfo;extensionObject","_Pid:string;_Timestamp:int;_OpenDateTime:string;_Hash:string;_SampleInfo:pb.TSampleInfo;extensionObject:ProtoBuf.IExtension","eStageLogin;getLoginedServerInfo;isLogined;kGetLoginedServerInfo;kLogin;kScanCookieLogin;logInfo;logInfoKeyValue;login;loginCallBack;loginEvent;onLogin","inferred","0.85","IL2CPP v24 type definition and field ranges; wire numbers/types remain unresolved"
"cn-1.5.20","TArgModiGuildInfo","ModiGuildInfo","C2S/request","","_Name;_Emblem;_Enounce;_Notice;_Limit;_Frame;_ChatRoom;extensionObject","_Name:string;_Emblem:int;_Enounce:string;_Notice:string;_Limit:pb.TGuildLimit;_Frame:int;_ChatRoom:string;extensionObject:ProtoBuf.IExtension","aSkillKillInfo;actSkillInfo;actionInfo;activeModifiers;actorInfo;actor_infos;airAttackerEquipInfo;airDefenderEquipInfo;airEquipInfo;allInfo;appendLengthInfo;appendModeInfo","inferred","0.85","IL2CPP v24 type definition and field ranges; wire numbers/types remain unresolved"
"cn-1.5.20","TArgModifyChannel","ModifyChannel","C2S/request","","_Channel;extensionObject","_Channel:int;extensionObject:ProtoBuf.IExtension","additionalShaderChannels;audio360ChannelMode;audioChannelMode;bakedLightChannels;channel;channelConfig;channelCount;channelData;channelDataArray;channelId;channelIndex;channelInstances","inferred","0.85","IL2CPP v24 type definition and field ranges; wire numbers/types remain unresolved"
"cn-1.5.20","TArgModifyChannelOld","ModifyChannelOld","C2S/request","","_State;extensionObject","_State:System.Collections.Generic.List<pb.TChannelState>;extensionObject:ProtoBuf.IExtension","additionalShaderChannels;audio360ChannelMode;audioChannelMode;bakedLightChannels;channel;channelConfig;channelCount;channelData;channelDataArray;channelId;channelIndex;channelInstances","inferred","0.85","IL2CPP v24 type definition and field ranges; wire numbers/types remain unresolved"
"cn-1.5.20","TArgPickCopyReward","PickCopyReward","C2S/request","","_RewardType;_Cid;_Index;extensionObject","_RewardType:int;_Cid:int;_Index:int;extensionObject:ProtoBuf.IExtension","arr_branch_copy;arr_copy_attacheds;arr_copy_display_id;arr_copy_enemys;arr_copy_guarantee;arr_finishmission_reward;arr_first_reward;arr_three_star_reward;beginPickPoint;big_activity_copy_display_id;branch_copy;commonReward","inferred","0.85","IL2CPP v24 type definition and field ranges; wire numbers/types remain unresolved"
"cn-1.5.20","TArgPush","Push","C2S/request","","_Uid;extensionObject","_Uid:ulong;extensionObject:ProtoBuf.IExtension","ack_push;custom_push_funcs;iPushOpe;lua_pushboolean;lua_pushcclosure;lua_pushint64;lua_pushlightuserdata;lua_pushnil;lua_pushnumber;lua_pushstdcallcfunction;lua_pushstring;lua_pushthread","inferred","0.85","IL2CPP v24 type definition and field ranges; wire numbers/types remain unresolved"
"cn-1.5.20","TArgRemove","Remove","C2S/request","","_Uid;extensionObject","_Uid:ulong;extensionObject:ProtoBuf.IExtension","add_CommandHandlerRemoved;add_LogHistoryItemRemoved;add_PlaneRemoved;add_planeRemoved;add_removed;fingersRemoved;fixupToRemove;listenersToRemove;lua_remove;m_RemoveList;m_RemoveListCount;m_RemoveStartOffset","inferred","0.85","IL2CPP v24 type definition and field ranges; wire numbers/types remain unresolved"
"cn-1.5.20","TArgSearchGuild","SearchGuild","C2S/request","TRetSearchGuild","_GuildId;_Name;_Type;extensionObject","_GuildId:ulong;_Name:string;_Type:int;extensionObject:ProtoBuf.IExtension","add_OnPathPostSearch;add_OnPathPreSearch;aerialSearch;aerialSearchCD;aerialSearchCDMax;aerialSearchDuration;aerialSearchMaxCD;aerialSearchNum;aerialSearchPlaneSpeed;aerialSearchRange;aerialSearchRangePosTrans;aerialSearchVoyage","inferred","0.85","IL2CPP v24 type definition and field ranges; wire numbers/types remain unresolved"
"cn-1.5.20","TArgSendMessage","SendMessage","C2S/request","","_Channel;_Message;extensionObject","_Channel:int;_Message:string;extensionObject:ProtoBuf.IExtension","add_OnSend;add_logMessageReceived;add_logMessageReceivedThreaded;autoSend;auxSendValues;bannerMessage;bufferToSend;bytesToSend;call_message;cloneDestroyedMessage;createClientHandshakeMessage;createServerHandshakeMessage","inferred","0.85","IL2CPP v24 type definition and field ranges; wire numbers/types remain unresolved"
"cn-1.5.20","TArgSendOneReward","SendOneReward","C2S/request","","_UidList;_RObjList;extensionObject","_UidList:System.Collections.Generic.List<ulong>;_RObjList:System.Collections.Generic.List<pb.TObj>;extensionObject:ProtoBuf.IExtension","add_OnSend;arr_finishmission_reward;arr_first_reward;arr_three_star_reward;autoSend;auxSendValues;bufferToSend;bytesToSend;commonReward;copy_must_drop_reward;disEnd;fastresend","inferred","0.85","IL2CPP v24 type definition and field ranges; wire numbers/types remain unresolved"
"cn-1.5.20","TArgSleep","Sleep","C2S/request","","_Ms;extensionObject","_Ms:uint;extensionObject:ProtoBuf.IExtension","isSleep;sleepAngularVelocity;sleepThreshold;sleepTimeout;sleepVelocity","inferred","0.85","IL2CPP v24 type definition and field ranges; wire numbers/types remain unresolved"
"cn-1.5.20","TArgTransfer","Transfer","C2S/request","","_Uid;extensionObject","_Uid:ulong;extensionObject:ProtoBuf.IExtension","bytesTransferred;chunkedTransfer","inferred","0.85","IL2CPP v24 type definition and field ranges; wire numbers/types remain unresolved"
"cn-1.5.20","TArgUniteLogin","UniteLogin","C2S/request","","_Uname;extensionObject","_Uname:string;extensionObject:ProtoBuf.IExtension","eStageLogin;getLoginedServerInfo;isLogined;kGetLoginedServerInfo;kLogin;kScanCookieLogin;logInfo;logInfoKeyValue;login;loginCallBack;loginEvent;onLogin","inferred","0.85","IL2CPP v24 type definition and field ranges; wire numbers/types remain unresolved"
"cn-1.5.20","TArgUseGiftCode","UseGiftCode","C2S/request","","_Code;extensionObject","_Code:string;extensionObject:ProtoBuf.IExtension","asnEncodedData;barcodeMatrix;base64EncodedKeyBlob;bitMatrixFromEncoder;blcodes;cachedHashCode;calculateBCHCode;chooseCode;code;codeAPI;codePage;code_len","inferred","0.85","IL2CPP v24 type definition and field ranges; wire numbers/types remain unresolved"
"cn-1.5.20","TArgUserId","UserId","C2S/request","","_Uid;extensionObject","_Uid:ulong;extensionObject:ProtoBuf.IExtension","allowUserInput;enterUserCenter;fVolAuxUserDefAtMaxDist;getUserCenterName;getUserCenterNameF;getUserInformation;kGetUserInformation;kMouseRightId;lua_islightuserdata;lua_pushlightuserdata;lua_touserdata;m_UseRelativeTransform","inferred","0.85","IL2CPP v24 type definition and field ranges; wire numbers/types remain unresolved"
"cn-1.5.20","TArgUserLogin","UserLogin","C2S/request","TRetUserLogin","_Uid;extensionObject","_Uid:ulong;extensionObject:ProtoBuf.IExtension","allowUserInput;eStageLogin;enterUserCenter;fVolAuxUserDefAtMaxDist;getLoginedServerInfo;getUserCenterName;getUserCenterNameF;getUserInformation;isLogined;kGetLoginedServerInfo;kGetUserInformation;kLogin","inferred","0.85","IL2CPP v24 type definition and field ranges; wire numbers/types remain unresolved"
"cn-1.5.20","TArgUserRank","UserRank","C2S/request","TRetUserRank","_RankType;extensionObject","_RankType:int;extensionObject:ProtoBuf.IExtension","allowUserInput;enterUserCenter;fVolAuxUserDefAtMaxDist;getUserCenterName;getUserCenterNameF;getUserInformation;il2cpp_class_get_rank;kGetUserInformation;kMouseRightId;lua_islightuserdata;lua_pushlightuserdata;lua_touserdata","inferred","0.85","IL2CPP v24 type definition and field ranges; wire numbers/types remain unresolved"
"cn-1.5.20","TArgVerifyGuild","VerifyGuild","C2S/request","","_Uid;_Mode;extensionObject","_Uid:ulong;_Mode:int;extensionObject:ProtoBuf.IExtension","check_verify_gzip;load_and_verify;mVerifyClient;verifyPackage;verifySignature","inferred","0.85","IL2CPP v24 type definition and field ranges; wire numbers/types remain unresolved"
"cn-1.5.20","TNetOperation","TNetOperation","unknown","","_frame;_index;_opCode;_data;extensionObject","_frame:int;_index:int;_opCode:int;_data:byte[];extensionObject:ProtoBuf.IExtension","arr_operation_buff_dict_id;arr_operation_flag_dict_id;m_Operation;nCount_PskillEnumOverOperation;operation;operationBuffDictIds;operationFlagDictIds;operationHandler;operationMode;operation_buff_dict_id;operation_flag_dict_id;operation_type","inferred","0.85","IL2CPP v24 type definition and field ranges; wire numbers/types remain unresolved"
"cn-1.5.20","TRetActiveShopGoodsInfo","ActiveShopGoodsInfo","S2C/response","","_CanBuy;extensionObject","_CanBuy:bool;extensionObject:ProtoBuf.IExtension","aSkillKillInfo;actSkillInfo;actionInfo;active;activeColor;activeColorSpace;activeEnvironments;activeEnvironmentsFromPortals;activeFieldSerializationData;activeFinger;activeInHierarchy;activeModifiers","inferred","0.85","IL2CPP v24 type definition and field ranges; wire numbers/types remain unresolved"
"cn-1.5.20","TRetArtifactData","ArtifactData","S2C/response","","_ArtifactId;_CrrntAttr;_AddAttr;_SkillsLevel;extensionObject","_ArtifactId:int;_CrrntAttr:System.Collections.Generic.List<int>;_AddAttr:System.Collections.Generic.List<int>;_SkillsLevel:System.Collections.Generic.List<int>;extensionObject:ProtoBuf.IExtension","aData;actSkillData;activeFieldSerializationData;addData;add_DatagramReceived;aiData;air_attack_spe_data;allData;allDatas;allMovePointData;allShipSpeedData;animData","inferred","0.85","IL2CPP v24 type definition and field ranges; wire numbers/types remain unresolved"
