table,status,jpRows,cnRows,identicalRows,changedRows,jpOnlyRows,cnOnlyRows,jpOnlyFields,cnOnlyFields
"config_ship_need_power_exp","records-different",4815,3210,3210,0,1605,0,"",""
"config_ship_perform_limit","identical",11,11,11,0,0,0,"",""
"config_ship_perform_mark","identical",6,6,6,0,0,0,"",""
"config_ship_position","schema-different",782,581,0,581,201,0,"cutin_inversion;cutin_position;cutin_scale;draw_inversion;draw_position;draw_scale;model_position",""
"config_ship_provide_power_exp","records-different",5277,3606,3516,90,1671,0,"",""
"config_ship_remould_effect","records-different",801,431,0,431,370,0,"",""
"config_ship_remould_show","identical",4,4,4,0,0,0,"",""
"config_ship_remould_template","records-different",63,36,0,36,27,0,"",""
"config_ship_show","schema-different",1417,1189,0,1189,228,0,"profilelist",""
"config_ship_talent_activate_condition","identical",7,7,7,0,0,0,"",""
"config_ship_talent_desc","identical",10,10,10,0,0,0,"",""
"config_ship_talent_upgrade_exp","records-different",20,10,9,1,10,0,"",""
"config_ship_talent_upgrade_item","identical",0,0,0,0,0,0,"",""
"config_ship_transform_effect","identical",5,5,5,0,0,0,"",""
"config_ship_type","records-different",23,22,3,19,1,0,"",""
"config_shiplist_option","records-different",8,7,1,6,1,0,"",""
"config_shiplist_sequence","records-different",98,77,11,66,21,0,"",""
"config_shiptalenttype","jp-only",5,0,0,0,0,0,"id;shiptypelist",""
"config_shop","schema-different",104,52,0,47,57,5,"quick_buy",""
"config_shop_goods","schema-different",2136,1073,0,722,1414,351,"cur_relation;currency;discount;language_id;price;price1","discount_id"
"config_skill","schema-different",7888,5819,0,5783,2105,36,"simple_behit_effect_bind_id",""
"config_skill_anim_detail","records-different",1820,1809,1792,10,18,7,"",""
"config_skill_anim_detail_action_type","identical",25,25,25,0,0,0,"",""
"config_skill_anim_detail_base_group","records-different",88,84,84,0,4,0,"",""
"config_skill_anim_detail_camera_target","identical",18,18,18,0,0,0,"",""
"config_skill_anim_detail_group","records-different",740,736,736,0,4,0,"",""
"config_skill_anim_detail_group_count","identical",39,39,39,0,0,0,"",""
"config_skill_anim_detail_ios","records-different",1820,1809,1792,10,18,7,"",""
"config_skill_anim_detail_type","identical",21,21,21,0,0,0,"",""
"config_skill_anim_project","records-different",673,670,670,0,3,0,"",""
"config_skill_anim_type","identical",17,17,17,0,0,0,"",""
"config_skill_be_hit","records-different",1728,1224,1212,12,504,0,"",""
"config_skill_be_hit_boss_sink","identical",3,3,3,0,0,0,"",""
"config_skill_be_hit_order","identical",5,5,5,0,0,0,"",""
"config_skill_common_condition","records-different",285,225,98,127,60,0,"",""
"config_skill_fashion","records-different",71,56,0,56,15,0,"",""
"config_skill_release","identical",1346,1346,1346,0,0,0,"",""
"config_skill_release_project","content-different",93,93,90,3,0,0,"",""
"config_skill_torpedo","identical",19,19,19,0,0,0,"",""
"config_skill_trap_effect","records-different",166,112,112,0,54,0,"",""
"config_skill_trap_group","identical",386,386,386,0,0,0,"",""
"config_skill_trap_item","identical",239,239,239,0,0,0,"",""
"config_skill_trap_ratio","identical",37,37,37,0,0,0,"",""
"config_skill_trigger","identical",32,32,32,0,0,0,"",""
"config_skill_trigger_group","identical",32,32,32,0,0,0,"",""
"config_skill_trigger_range","identical",0,0,0,0,0,0,"",""
"config_skill_type","identical",7,7,7,0,0,0,"",""
"config_skill_type_anim","identical",18,18,18,0,0,0,"",""
"config_sp_settings_dict","identical",3,3,3,0,0,0,"",""
"config_sp_settings_fleet_dict","identical",3,3,3,0,0,0,"",""
"config_special_buff","identical",3,3,3,0,0,0,"",""
"config_specialdraw","schema-different",407,173,0,110,297,63,"close_script;close_script_param",""
"config_sportsmeet_achieve","jp-only",18,0,0,0,0,0,"achieve_type;activity_id;copy_id;desc;goal;id;reward;sport_type;title",""
"config_sportsmeet_award","jp-only",22,0,0,0,0,0,"hot_point;id;rewards;score",""
"config_sportsmeet_rank","jp-only",33,0,0,0,0,0,"activity_id;copy_id;id;range;range_desc;rank_pic;rank_reward;rank_reward_curren;sport_type",""
"config_sportsmeet_score","jp-only",12,0,0,0,0,0,"desc;id;if_rank;score;score_type;sport_type",""
"config_stage","records-different",302,270,234,36,32,0,"",""
"config_starbox","identical",9,9,9,0,0,0,"",""
"config_strategy","schema-different",17,8,0,8,9,0,"strategy_flag",""
"config_supply_get","identical",2,2,2,0,0,0,"",""
"config_support_effect","identical",12,12,12,0,0,0,"",""
"config_support_fleet_item","content-different",29,29,0,29,0,0,"",""
"config_support_fleet_recommend","identical",1,1,1,0,0,0,"",""
"config_support_time","identical",2,2,2,0,0,0,"",""
"config_support_type","identical",2,2,2,0,0,0,"",""
"config_system_info_text","identical",14,14,14,0,0,0,"",""
"config_table_index","records-different",26,24,22,1,3,1,"",""
"config_talent","jp-only",1077,0,0,0,0,0,"belongtalent;desc;icon;iconcheck;iconmax;id;levelup;name;nexttalent;positioninfo;precondition;specialtalent;talenteffect;talenticon;type",""
"config_talentcondition","jp-only",214,0,0,0,0,0,"desc;id;p1;p2;p3;p4;type",""
"config_talenteffect","jp-only",130,0,0,0,0,0,"id;p1;p2;p3;p4;type",""
"config_talentmain","jp-only",5,0,0,0,0,0,"background;id;name;talentlist",""
"config_task_activity","schema-different",1692,725,0,480,1212,245,"hide;label;last_task_receive;period_list;period_list_area;show_rewards;title",""
"config_task_daily","records-different",24,23,0,23,1,0,"",""
"config_task_grow","content-different",242,242,0,242,0,0,"",""
"config_task_guild","content-different",102,102,0,102,0,0,"",""
"config_task_guildoffer","jp-only",34,0,0,0,0,0,"applynum;count_type;desc;goal;id;limittime;order;quality;qualitybg;score;type;weight",""
"config_task_magazine","records-different",343,338,0,338,5,0,"",""
"config_task_main","content-different",174,174,0,174,0,0,"",""
"config_task_return","content-different",42,42,0,42,0,0,"",""
"config_task_reward_modify","identical",40,40,40,0,0,0,"",""
"config_task_teaching","content-different",104,104,0,104,0,0,"",""
"config_task_teaching_group","content-different",8,8,0,8,0,0,"",""
"config_task_treaty","jp-only",6,0,0,0,0,0,"go_up_to;goal;id;order;rewards;title",""
"config_task_weekly","content-different",22,22,0,22,0,0,"",""
"config_teaching_achievement","content-different",9,9,0,9,0,0,"",""
"config_teaching_assess","content-different",6,6,0,6,0,0,"",""
"config_teaching_personal_info","identical",23,23,23,0,0,0,"",""
"config_team","identical",2,2,2,0,0,0,"",""
"config_testship_reward","identical",2,2,2,0,0,0,"",""
"config_testship_task","content-different",41,41,40,1,0,0,"",""
"config_tower_activity","content-different",1,1,0,1,0,0,"",""
"config_tower_prop","identical",13,13,13,0,0,0,"",""
"config_tower_topic","records-different",18,9,0,9,9,0,"",""
"config_treaty_buff","jp-only",12,0,0,0,0,0,"buff_icon;buff_star;desc;flag_new;id;name;order;treaty_atk;treaty_buff;treaty_hp",""
"config_trigger_shape","identical",5,5,5,0,0,0,"",""
"config_ui_battlepage_config","content-different",82,82,81,1,0,0,"",""
"config_ui_battlepage_config_ios","identical",81,81,81,0,0,0,"",""
"config_ui_config","records-different",421,359,323,30,68,6,"",""
"config_value_effect","schema-different",85,70,0,70,15,0,"activity_effect_desc;activity_effect_type;activity_value_show",""
"config_voice_chat_err","identical",100,100,100,0,0,0,"",""
"config_vow","content-different",3,3,2,1,0,0,"",""
"config_vow_item","records-different",97,72,0,71,26,1,"",""
"config_vow_wall_ship","identical",8,8,8,0,0,0,"",""
"config_weather","records-different",6,7,6,0,0,1,"",""
"config_weather_exchange_light","identical",3,3,3,0,0,0,"",""
"config_weather_group","records-different",6,7,6,0,0,1,"",""
"config_worker","identical",1,1,1,0,0,0,"",""
